Player,Squad,Pos,Min,90s,Tkl,Int,Blocks,Clr,TklDef3rd,TklMid3rd,TklAtt3rd,Recov,PasProg,CarProg,CarPrgDist,Pas3rd,PasAss,SCA,PPA,TB,PasTotCmp%,CarMis,CarDis,Touches,Carries,Rec,Tkl_p90,Int_p90,Blocks_p90,Clr_p90,TklDef3rd_p90,TklMid3rd_p90,TklAtt3rd_p90,Recov_p90,PasProg_p90,CarProg_p90,CarPrgDist_p90,Pas3rd_p90,PasAss_p90,SCA_p90,PPA_p90,TB_p90,Touches_p90,Carries_p90,Rec_p90,Tkl_p90_pct,Int_p90_pct,Blocks_p90_pct,Clr_p90_pct,TklDef3rd_p90_pct,TklMid3rd_p90_pct,TklAtt3rd_p90_pct,Recov_p90_pct,PasProg_p90_pct,CarProg_p90_pct,CarPrgDist_p90_pct,Pas3rd_p90_pct,PasAss_p90_pct,SCA_p90_pct,PPA_p90_pct,TB_p90_pct,PasTotCmp%_pct,CarMis_pct,CarDis_pct,Touches_p90_pct,Carries_p90_pct,Rec_p90_pct,defensive_impact,pressing_ball_winning,ball_progression,chance_creation,possession_retention,off_ball_activity,SCS
Andrew Robertson,Liverpool,DF,1322,14.7,1.09,0.75,1.02,1.7,0.41,0.48,0.2,5.24,5.17,2.45,121.8,3.4,2.04,3.95,1.36,0.0,78.8,1.22,0.48,83.1,42.7,53.3,0.07414965986394559,0.05102040816326531,0.06938775510204082,0.11564625850340136,0.027891156462585033,0.0326530612244898,0.01360544217687075,0.3564625850340136,0.3517006802721089,0.16666666666666669,8.285714285714286,0.23129251700680273,0.13877551020408163,0.2687074829931973,0.0925170068027211,0.0,5.653061224489796,2.904761904761905,3.6258503401360542,27.472527472527474,20.87912087912088,31.868131868131865,10.989010989010989,10.989010989010989,48.35164835164835,73.62637362637363,52.74725274725275,81.31868131868131,83.51648351648352,79.12087912087912,63.73626373626373,98.9010989010989,98.9010989010989,89.01098901098901,30.21978021978022,36.81318681318682,15.934065934065927,29.120879120879124,82.41758241758241,79.12087912087912,81.31868131868131,22.802197802197803,46.42857142857144,76.92307692307692,79.25824175824175,27.28937728937729,80.95238095238095,47.86401098901099
Anthony Gordon,Newcastle Utd,MF,1172,13.1,3.9000000000000004,0.33,2.67,0.9,2.5,0.82,0.57,7.92,3.7800000000000002,7.859999999999999,192.10000000000002,5.1000000000000005,2.8800000000000003,6.33,0.9,1.1900000000000002,150.2,7.0600000000000005,3.0,88.0,51.8,66.0,0.2977099236641222,0.02519083969465649,0.20381679389312976,0.06870229007633588,0.19083969465648856,0.06259541984732825,0.04351145038167939,0.6045801526717557,0.2885496183206107,0.6,14.664122137404583,0.3893129770992367,0.21984732824427483,0.483206106870229,0.06870229007633588,0.09083969465648857,6.7175572519083975,3.9541984732824424,5.038167938931298,97.1830985915493,19.718309859154928,100.0,56.33802816901409,100.0,57.74647887323944,95.77464788732394,92.95774647887323,50.70422535211267,100.0,100.0,87.32394366197182,100.0,100.0,70.4225352112676,100.0,98.59154929577466,0.0,1.408450704225345,95.77464788732394,97.1830985915493,97.1830985915493,68.30985915492958,86.61971830985915,84.50704225352112,92.6056338028169,33.333333333333336,96.71361502347418,77.86971830985915
Antonee Robinson,Fulham,DF,1738,19.3,1.61,1.4,1.76,2.38,1.19,0.36,0.05,7.41,3.78,3.37,132.0,3.01,0.67,1.92,1.24,0.0,73.3,1.24,0.62,64.2,32.4,34.2,0.08341968911917098,0.07253886010362694,0.09119170984455958,0.1233160621761658,0.0616580310880829,0.01865284974093264,0.0025906735751295338,0.3839378238341969,0.19585492227979273,0.17461139896373057,6.839378238341968,0.15595854922279792,0.03471502590673575,0.09948186528497409,0.06424870466321243,0.0,3.326424870466321,1.6787564766839378,1.7720207253886011,34.065934065934066,48.35164835164835,63.73626373626373,14.285714285714285,46.15384615384615,27.472527472527474,31.868131868131865,62.637362637362635,45.05494505494506,86.81318681318682,62.637362637362635,26.373626373626376,63.73626373626373,61.53846153846154,74.72527472527473,30.21978021978022,18.681318681318682,13.736263736263737,23.076923076923066,23.076923076923077,23.076923076923077,10.989010989010989,40.10989010989011,42.032967032967036,55.21978021978022,57.55494505494505,18.498168498168496,19.047619047619047,37.232142857142854
Antony,Manchester Utd,FW,908,10.1,1.39,0.4,0.79,0.3,0.69,0.5,0.2,4.95,2.77,4.75,125.1,1.39,0.79,2.97,0.79,0.1,77.2,1.49,0.69,52.6,37.8,40.0,0.1376237623762376,0.039603960396039604,0.07821782178217822,0.0297029702970297,0.06831683168316831,0.04950495049504951,0.019801980198019802,0.49009900990099015,0.2742574257425743,0.4702970297029703,12.386138613861386,0.1376237623762376,0.07821782178217822,0.2940594059405941,0.07821782178217822,0.009900990099009901,5.207920792079208,3.7425742574257423,3.9603960396039604,89.79591836734694,87.75510204081633,79.59183673469387,38.775510204081634,91.83673469387756,85.71428571428571,57.14285714285714,95.91836734693877,81.63265306122449,91.83673469387756,91.83673469387756,79.59183673469387,51.02040816326531,77.55102040816327,69.38775510204081,59.183673469387756,73.46938775510205,91.83673469387755,95.91836734693878,89.79591836734694,97.95918367346938,89.79591836734694,73.97959183673468,82.65306122448979,86.22448979591837,64.28571428571429,87.07482993197279,92.51700680272108,80.05952380952381
Armel Bella Kotchap,Southampton,DF,1026,11.4,1.67,2.37,1.58,5.18,1.49,0.18,0.0,7.11,1.49,0.26,75.0,1.58,0.26,0.79,0.18,0.0,75.4,0.79,0.44,54.0,28.7,27.8,0.14649122807017542,0.20789473684210527,0.1385964912280702,0.45438596491228067,0.1307017543859649,0.015789473684210527,0.0,0.6236842105263158,0.1307017543859649,0.02280701754385965,6.578947368421052,0.1385964912280702,0.02280701754385965,0.0692982456140351,0.015789473684210527,0.0,4.7368421052631575,2.517543859649123,2.43859649122807,67.03296703296702,100.0,94.5054945054945,96.7032967032967,87.91208791208791,17.582417582417584,13.736263736263737,97.8021978021978,13.186813186813188,25.274725274725274,54.94505494505495,20.87912087912088,43.956043956043956,49.45054945054945,41.75824175824176,30.21978021978022,24.175824175824175,40.65934065934066,30.769230769230774,60.43956043956044,63.73626373626373,46.15384615384615,89.56043956043955,54.25824175824175,28.57142857142857,41.34615384615384,31.86813186813187,56.77655677655678,57.369505494505496
Ashley Young,Aston Villa,DF,1192,13.2,2.8,1.06,1.29,2.73,1.97,0.76,0.08,6.74,5.08,1.21,62.2,3.33,0.76,2.27,0.98,0.15,74.4,0.61,0.23,66.0,31.5,34.6,0.21212121212121213,0.0803030303030303,0.09772727272727273,0.20681818181818182,0.14924242424242426,0.05757575757575758,0.0060606060606060615,0.5106060606060606,0.3848484848484849,0.09166666666666667,4.712121212121213,0.2522727272727273,0.05757575757575758,0.17196969696969697,0.07424242424242425,0.011363636363636364,5.0,2.3863636363636367,2.6212121212121215,91.20879120879121,62.637362637362635,73.62637362637363,50.54945054945055,94.5054945054945,83.51648351648352,47.25274725274725,89.01098901098901,86.81318681318682,63.73626373626373,31.868131868131865,72.52747252747253,76.92307692307693,86.81318681318682,83.51648351648352,92.85714285714286,20.87912087912088,56.59340659340659,58.791208791208796,68.13186813186813,59.34065934065934,53.84615384615385,69.50549450549451,78.57142857142857,63.73626373626373,85.02747252747253,45.42124542124542,60.43956043956044,66.25686813186815
Ben Davies,Tottenham,DF,1441,16.0,0.94,0.81,0.81,2.69,0.44,0.44,0.06,3.5,5.13,1.56,133.4,3.75,0.81,1.44,0.19,0.0,84.4,0.69,0.31,64.6,38.4,46.0,0.05875,0.050625,0.050625,0.168125,0.0275,0.0275,0.00375,0.21875,0.320625,0.0975,8.3375,0.234375,0.050625,0.09,0.011875,0.0,4.0375,2.4,2.875,15.384615384615385,19.78021978021978,10.989010989010989,36.26373626373626,8.791208791208792,43.956043956043956,33.51648351648351,7.6923076923076925,75.82417582417582,67.03296703296702,81.31868131868131,67.03296703296702,75.82417582417582,58.24175824175825,31.868131868131865,30.21978021978022,66.48351648351648,45.05494505494505,41.75824175824175,41.75824175824176,60.43956043956044,62.637362637362635,20.604395604395606,23.48901098901099,72.8021978021978,49.03846153846153,51.0989010989011,54.94505494505494,40.15796703296703
Ben Mee,Brentford,DF,1838,20.4,1.03,1.37,1.72,3.48,0.64,0.39,0.0,5.64,1.72,0.1,52.7,1.72,0.15,0.54,0.2,0.0,74.9,0.59,0.05,59.7,31.4,32.1,0.05049019607843138,0.06715686274509805,0.08431372549019608,0.17058823529411765,0.03137254901960784,0.01911764705882353,0.0,0.27647058823529413,0.08431372549019608,0.004901960784313726,2.5833333333333335,0.08431372549019608,0.007352941176470588,0.02647058823529412,0.009803921568627453,0.0,2.9264705882352944,1.5392156862745099,1.573529411764706,12.087912087912088,38.46153846153847,51.64835164835166,37.362637362637365,14.285714285714285,28.57142857142857,13.736263736263737,24.175824175824175,3.296703296703297,3.296703296703297,5.4945054945054945,4.395604395604396,15.384615384615385,7.6923076923076925,25.274725274725274,30.21978021978022,23.076923076923077,58.24175824175824,90.65934065934066,5.4945054945054945,12.087912087912088,5.4945054945054945,34.8901098901099,20.192307692307693,4.1208791208791204,19.642857142857142,57.32600732600732,7.692307692307693,25.858516483516485
Ben White,Arsenal,DF,1683,18.7,2.19,0.64,1.44,2.51,0.91,1.02,0.27,4.17,8.13,2.14,109.8,7.38,0.8,2.19,1.28,0.16,83.6,1.07,0.27,75.2,42.1,50.4,0.11711229946524064,0.034224598930481284,0.07700534759358289,0.13422459893048128,0.04866310160427808,0.05454545454545455,0.014438502673796793,0.2229946524064171,0.4347593582887701,0.11443850267379681,5.871657754010696,0.3946524064171123,0.04278074866310161,0.11711229946524064,0.06844919786096257,0.008556149732620321,4.021390374331551,2.251336898395722,2.695187165775401,53.84615384615385,4.395604395604396,43.40659340659341,19.78021978021978,32.967032967032964,80.21978021978022,75.82417582417582,8.791208791208792,91.20879120879121,72.52747252747253,48.35164835164835,90.10989010989012,72.52747252747253,69.23076923076923,78.02197802197803,86.81318681318682,62.637362637362635,23.076923076923066,50.54945054945055,40.65934065934066,50.54945054945055,54.94505494505495,30.357142857142858,49.45054945054945,75.54945054945055,76.64835164835165,45.42124542124541,48.71794871794872,48.28296703296703
Bernardo Silva,Manchester City,MF,1410,15.7,1.97,0.64,0.96,0.25,0.45,1.15,0.38,4.46,4.9,4.14,160.4,3.18,1.46,3.5,1.34,0.06,85.9,1.21,1.46,71.7,44.2,53.8,0.12547770700636943,0.04076433121019109,0.061146496815286625,0.01592356687898089,0.028662420382165606,0.0732484076433121,0.024203821656050957,0.2840764331210191,0.3121019108280255,0.26369426751592356,10.21656050955414,0.20254777070063695,0.09299363057324841,0.2229299363057325,0.08535031847133759,0.003821656050955414,4.56687898089172,2.815286624203822,3.426751592356688,43.66197183098591,32.3943661971831,28.169014084507044,7.042253521126761,23.943661971830984,71.83098591549296,70.4225352112676,23.943661971830984,54.929577464788736,94.36619718309859,97.1830985915493,47.88732394366197,69.01408450704226,77.46478873239437,78.87323943661971,26.76056338028169,85.2112676056338,56.33802816901409,27.464788732394368,80.28169014084507,85.91549295774648,84.50704225352112,27.816901408450708,47.53521126760563,73.59154929577464,63.028169014084504,56.33802816901408,83.5680751173709,58.83802816901408
